text,translated_te,lang,id,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation,raw_model_output,pred_stereotype,pred_vilification,pred_dehumanization,pred_extreme_language,pred_lack_of_empathy,pred_invalidation
عاجل | حسب صحيفة ليكيب الفرنسية: تم تأجيل كأس أفريقيا 2025، التي كان من المقرر أن تُقام في المغرب، إلى بداية العام 2026، وذلك بسبب تعارضها مع روزنامة كأس العالم للأندية.,"ముఖ్యమైన | ఫ్రెంచ్ వార్తాపత్రిక ""లీకిప్"" ప్రకారం: 2025లో నిర్వహించాల్సిన ఆఫ్రికా కప్, మార్చిలో నిర్వహించాల్సిన ప్రపంచ కప్ ఆఫ్ క్లబ్‌లతో పోటీ పడుతున్నందున, 2026 ప్రారంభానికి వాయిదా వేయబడింది.",arb,arb_c014938e00ef553fb45a831b480c9d6d,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 0",0,0,0,0,0,0
أسعار الفواتير ال  بعد الزيادة الجديدة ايه يال حبيب؟,"కొత్త ధరల ప్రకారం బిల్లుల ధరలు ఎలా ఉన్నాయి, ప్రియమైన వ్యక్తి?",arb,arb_f425bc7f89e76e3953a112f5df89c5d5,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 0",0,0,0,0,0,0
شجار بين لاعبي الشباب السعودي والزمالك المصري في مباراة كأس العرب للأندية الأبطال,సౌదీ యువ ఆటగాళ్లు మరియు ఈజిప్టు జెమాల్క్ మధ్య అరేబియా ఛాంపియన్స్ క్లబ్ టోర్నమెంట్‌లో ఘర్షణ.,arb,arb_ea240083705403ad1d839f4c337894f0,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 0",0,0,0,0,0,0
أرقام نيمار مع سانتوس خلال 3 أسابيع أفضل من 17 شهرا مع الهلال,"నైమార, శాంటోస్‌తో ఆ 3 వారాల్లో సాధించిన విజయాలు, 17 నెలల్లో అల్-హెలతో సాధించిన విజయాల కంటే మెరుగ్గా ఉన్నాయి.",arb,arb_d380557a1e7c162fbf0bf8bb8cb7c374,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 0",0,0,0,0,0,0
"""ديبسيك"".. زلزال عرضي أم تحول استراتيجي في أسهم الـ AI؟","""డైబైస్"" - కృత్రిమ మేధస్సు (AI) స్టాక్‌లలో ఒక సాధారణ మార్పునా, లేక వ్యూహాత్మక మార్పునా?",arb,arb_8421931dbf5d17ebca7533e75a459292,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 1",0,0,0,0,0,1
قانون الأمن الغذائي قطعت روحك علي وين صار بله ٢٥ ترليون سرقتوهن وجاي تحجيلي بلفقير ولمضلوم الالعنه الله عليكم اجمعين,ఆహార భద్రతా చట్టం మీ జీవితాన్ని నాశనం చేసింది. 25 ట్రిలియన్ల మంది ప్రజలను ఇది ప్రభావితం చేసింది. పేద మరియు అణచివేతకు గురైన వారిపై ఇది తీవ్ర ప్రభావం చూపింది. దేవుడు మిమ్మల్ని అందరినీ శిక్షించాలి.,arb,arb_d3e69fe5c97b40521cb3ea6a6c8fe612,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 1
Invalidation: 1",0,0,0,0,1,1
محكمة التعقيب تؤيد حكم السجن والمراقبة الإدارية ضد راشد الغنوشي,"అప్పీల్ కోర్టు, రాషీద్ ఘనౌషీపై విధించిన జైలు శిక్ష మరియు పరిపాలనా పర్యవేక్షణ తీర్పును సమర్ధించింది.",arb,arb_7f12b7a74347dd0e97fb4eb8000925ac,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 1",0,0,0,0,0,1
"#العشرية_السوداء صنعت الاستبداد بعد بزوغ نور الحرية و الديمقراطية. 
ازيد من مائتين الف قتيل تحتاج إلى رد الاعتبار .","#నల్ల దశాబ్దం స్వేచ్ఛ మరియు ప్రజాస్వామ్యం వెలుగుతున్న సమయంలో నియంతృత్వాన్ని సృష్టించింది.
200,000 మందికి పైగా మరణించిన వారికి పరిహారం ఇవ్వాలి.",arb,arb_649bdd51cef9c5dddc114c6ad474f0f9,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 0
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 1",0,0,0,0,0,1
فلول النظام يا عضو هربوا خارج سوريا . هناك قتل طائفي بالساحل بأمر من السلطة الحاكمة المؤقتة,"ఈ వ్యవస్థలోని విచ్ఛిన్నమైన వ్యక్తులు, సిరియా నుండి తప్పించుకుని బయటకు వెళ్లారు. తాత్కాలిక పాలక ప్రభుత్వం ఆదేశాల మేరకు, తీర ప్రాంతంలో మతపరమైన హింస జరుగుతోంది.",arb,arb_f37dfc9902e43f94fb786666e5880ece,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 1
Vilification: 0
Dehumanization: 0
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 1",1,0,0,0,0,1
الدعتور مثله مثل اي حي سوري .. مفعم بالفقر و حافل بالتعتير و مجبول بالطيبة .. القبض على مطلوب لا يحتاج كل هذا العنف القديم الجديد,"""డెట్‌ూర్, ఇతర జంతువుల మాదిరిగానే ఉంది.. ఇది పేదరితో నిండి ఉంది, మరియు దయతో నిండి ఉంది. ఒక నేరస్థుడిని పట్టుకోవడానికి, ఇంతటి పాత పద్ధతులను ఉపయోగించాల్సిన అవసరం లేదు.""",arb,arb_c09fbf4f64bdde1a4a0dce604c8f7b92,0,0,0,0,0,0,0,0,0,0,0,0,"Here are the classifications:

Stereotype: 1
Vilification: 0
Dehumanization: 1
Extreme Language: 0
Lack of Empathy: 0
Invalidation: 0",1,0,1,0,0,0
